company_cd,rr_cd,company_name,company_name_en,company_name_k,company_name_h,company_name_h_en,company_name_r,company_url,company_type,e_status,e_sort
1,11,JR北海道,JR Hokkaidou,ジェイアールホッカイドウ,北海道旅客鉄道株式会社,Hokkaidou ryokaku tetsudou kabushiki kaisha,JR北海道,http://www.jrhokkaido.co.jp/,1,0,1
2,11,JR東日本,JR higashi Nippon,ジェイアールヒガシニホン,東日本旅客鉄道株式会社,Higashi Nippon ryokaku tetsudou kabushiki kaisha,JR東日本,http://www.jreast.co.jp/,1,0,2
3,11,JR東海,JR Toukai,ジェイアールトウカイ,東海旅客鉄道株式会社,Toukai ryokaku tetsudou kabushiki kaisha,JR東海,http://jr-central.co.jp/,1,0,3
4,11,JR西日本,JR nishi Nippon,ジェイアールニシニホン,西日本旅客鉄道株式会社,Nishi Nippon ryokaku tetsudou kabushiki kaisha,JR西日本,http://www.westjr.co.jp/,1,0,4
5,11,JR四国,JR Shikoku,ジェイアールシコク,四国旅客鉄道株式会社,Shikoku ryokaku tetsudou kabushiki kaisha,JR四国,http://www.jr-shikoku.co.jp/,1,0,5
6,11,JR九州,JR Kyuushuu,ジェイアールキュウシュウ,九州旅客鉄道株式会社,Kyuushuu ryokaku tetsudou kabushiki kaisha,JR九州,http://www.jrkyushu.co.jp/,1,0,6
11,21,東武鉄道,Toubu tetsudou,トウブテツドウ,東武鉄道株式会社,Toubu tetsudou kabushiki kaisha,東武,http://www.tobu.co.jp/,2,0,11
12,22,西武鉄道,Seibu tetsudou,セイブテツドウ,西武鉄道株式会社,Seibu tetsudou kabushiki kaisha,西武,http://www.seibu-group.co.jp/railways/,2,0,12
13,23,京成電鉄,Keisei dentetsu,ケイセイデンテツ,京成電鉄株式会社,Keisei dentetsu kabushiki kaisha,京成,http://www.keisei.co.jp/,2,0,13
14,24,京王電鉄,Keiou dentetsu,ケイオウデンテツ,京王電鉄株式会社,Keiou dentetsu kabushiki kaisha,京王,http://www.keio.co.jp/,2,0,14
15,25,小田急電鉄,Odakyuu dentetsu,オダキュウデンテツ,小田急電鉄株式会社,Odakyuu dentetsu kabushiki kaisha,小田急,http://www.odakyu.jp/,2,0,15
16,26,東急電鉄,Toukyuu dentetsu,トウキュウデンテツ,東京急行電鉄株式会社,Tokyo kyuukou dentetsu kabushiki kaisha,東急,http://www.tokyu.co.jp/,2,0,16
17,27,京急電鉄,Keikyuu dentetsu,ケイキュウデンテツ,京浜急行電鉄株式会社,Keihin kyuukou dentetsu kabushiki kaisha,京急,http://www.keikyu.co.jp/,2,0,17
18,28,東京メトロ,Tokyo metro,トウキョウメトロ,東京地下鉄株式会社,Tokyo chikatetsu kabushiki kaisha,東京メトロ,http://www.tokyometro.jp/,2,0,18
19,29,相模鉄道,Sagami tetsudou,サガミテツドウ,相模鉄道株式会社,Sagami tetsudou kabushiki kaisha,相鉄,http://www.sotetsu.co.jp/,2,0,19
20,30,名古屋鉄道,Nagoya tetsudou,ナゴヤテツドウ,名古屋鉄道株式会社,Nagoya tetsudou kabushiki kaisha,名鉄,http://www.meitetsu.co.jp/,2,0,20
21,31,近畿日本鉄道,Kinki Nippon tetsudou,キンキニホンテツドウ,近畿日本鉄道株式会社,Kinki Nippon tetsudou kabushiki kaisha,近鉄,http://www.kintetsu.co.jp/,2,0,21
22,32,南海電鉄,Nankai dentetsu,ナンカイデンテツ,南海電気鉄道株式会社,Nankai denki tetsudou kabushiki kaisha,南海,http://www.nankai.co.jp/,2,0,22
23,33,京阪電鉄,Keihan dentetsu,ケイハンデンテツ,京阪電気鉄道株式会社,Keihan denki tetsudou kabushiki kaisha,京阪,http://www.keihan.co.jp/,2,0,23
24,34,阪急電鉄,Hankyuu dentetsu,ハンキュウデンテツ,阪急電鉄株式会社,Hankyuu dentetsu kabushiki kaisha,阪急,http://rail.hankyu.co.jp/,2,0,24
25,35,阪神電鉄,Hanshin dentetsu,ハンシンデンテツ,阪神電気鉄道株式会社,Hanshin denki tetsudou kabushiki kaisha,阪神,http://rail.hanshin.co.jp/,2,0,25
26,36,西日本鉄道,Nishi Nippon tetsudou,ニシニホンテツドウ,西日本鉄道株式会社,Nishi Nippon tetsudou kabushiki kaisha,西鉄,http://www.nishitetsu.co.jp/,2,0,26
101,99,札幌市交通局,Sapporo shi koutsuu kyoku,サッポロシコウツウキョク,札幌市交通局,Sapporo shi koutsuu kyoku,札幌市交通局,http://www.city.sapporo.jp/st/,0,0,101
252,99,札幌市交通事業振興公社,Sapporo shi koutsuu jigyou shinkou kousha,サッポロシコウツウジギョウシンコウコウシャ,一般財団法人札幌市交通事業振興公社,Ippan zaidan houjin Sapporo shi koutsuu jigyou shinkou kousha,札幌市交通事業振興公社,https://www.stsp.or.jp/,0,0,101
102,99,函館市交通局,Hakodate shi koutsuu kyoku,ハコダテシコウツウキョク,函館市交通局,Hakodate shi koutsuu kyoku,函館市電,http://www.city.hakodate.hokkaido.jp/transport/,0,0,102
103,99,北海道ちほく高原鉄道,Hokkaidou chi hoku kougen tetsudou,ホッカイドウチホクコウゲンテツドウ,北海道ちほく高原鉄道株式会社,Hokkaidou chi hoku kougen tetsudou kabushiki kaisha,北海道ちほく高原鉄道,,0,2,103
248,99,道南いさりび鉄道,Dounan i sari bi tetsudou,ドウナンイサリビテツドウ,道南いさりび鉄道株式会社,Dounan i sari bi tetsudou kabushiki kaisha,道南いさりび,http://www.shr-isaribi.jp,0,0,103
104,99,津軽鉄道,Tsugaru tetsudou,ツガルテツドウ,津軽鉄道株式会社,Tsugaru tetsudou kabushiki kaisha,津軽鉄道,http://tsutetsu.com/,0,0,104
105,99,弘南鉄道,Hiro minami tetsudou,コウナンテツドウ,弘南鉄道,Hiro minami tetsudou,弘南鉄道,http://konantetsudo.jp/,0,0,105
106,99,十和田観光電鉄,Towada kankou dentetsu,トワダカンコウデンデツ,十和田観光電鉄株式会社,Towada kankou dentetsu kabushiki kaisha,十和田観光電鉄,http://www.toutetsu.co.jp/,0,2,106
107,99,IGRいわて銀河鉄道,IGR Iwate ginga tetsudou,アイジーアールイワテギンガテツドウ,IGRいわて銀河鉄道株式会社,IGR Iwate ginga tetsudou kabushiki kaisha,IGRいわて銀河鉄道,http://www.igr.jp/,0,0,107
108,99,青い森鉄道,Aoi mori tetsudou,アオイモリテツドウ,青い森鉄道株式会社,Aoi mori tetsudou kabushiki kaisha,青い森鉄道,http://aoimorirailway.com/,0,0,108
109,99,三陸鉄道,Sanriku tetsudou,サンリクテツドウ,三陸鉄道株式会社,Sanriku tetsudou kabushiki kaisha,三鉄,http://www.sanrikutetsudou.com/,0,0,109
110,99,秋田内陸縦貫鉄道,Akita nairiku juukan tetsudou,アキタナイリクジュウカンテツドウ,秋田内陸縦貫鉄道株式会社,Akita nairiku juukan tetsudou kabushiki kaisha,秋田内陸縦貫鉄道,http://www.akita-nairiku.com/,0,0,110
111,99,由利高原鉄道,Yuri kougen tetsudou,ユリコウゲンテツドウ,由利高原鉄道株式会社,Yuri kougen tetsudou kabushiki kaisha,由利高原鉄道,http://www.obako5.com/,0,0,111
112,99,山形鉄道,Yamagata tetsudou,ヤマガタテツドウ,山形鉄道株式会社,Yamagata tetsudou kabushiki kaisha,山形鉄道,http://www.flower-liner.jp/,0,0,112
113,99,くりはら田園鉄道,Kurihara den'en tetsudou,クリハラデンエンテツドウ,くりはら田園鉄道株式会社,Kurihara den'en tetsudou kabushiki kaisha,栗原電鉄,,0,2,113
114,99,阿武隈急行,Abukuma kyuukou,アブクマキュウコウ,阿武隈急行株式会社,Abukuma kyuukou kabushiki kaisha,阿武急,http://www.abukyu.co.jp/,0,0,114
115,99,仙台市交通局,Sendai shi koutsuu kyoku,センダイシコウツウキョク,仙台市交通局,Sendai shi koutsuu kyoku,仙台市交通局,http://www.kotsu.city.sendai.jp/,0,0,115
116,99,福島交通,Fukushima koutsuu,フクシマコウツウ,福島交通株式会社,Fukushima koutsuu kabushiki kaisha,福島交通,http://www.fukushima-koutu.co.jp/,0,0,116
117,99,会津鉄道,Aizu tetsudou,アイヅテツドウ,会津鉄道株式会社,Aizu tetsudou kabushiki kaisha,会津鉄道,http://www.aizutetsudo.jp/,0,0,117
250,99,宇都宮ライトレール,Utsunomiya raito rail,ウツノミヤライトレール,宇都宮ライトレール株式会社,Utsunomiya raito rail kabushiki kaisha,宇都宮ライトレール,https://www.miyarail.co.jp/,0,0,117
118,99,仙台空港鉄道,Sendai kuukou tetsudou,センダイクウコウテツドウ,仙台空港鉄道株式会社,Sendai kuukou tetsudou kabushiki kaisha,仙台空港鉄道,http://www.senat.co.jp/,0,0,118
119,99,東京都交通局,Tokyo to koutsuu kyoku,トウキョウトコウツウキョク,東京都交通局,Tokyo to koutsuu kyoku,東京都交通局,http://www.kotsu.metro.tokyo.jp/,0,0,119
120,99,秩父鉄道,Chichibu tetsudou,チチブテツドウ,秩父鉄道株式会社,Chichibu tetsudou kabushiki kaisha,秩鉄,http://www.chichibu-railway.co.jp/,0,0,120
121,99,埼玉高速鉄道,Saitama kousoku tetsudou,サイタマコウソクテツドウ,埼玉高速鉄道株式会社,Saitama kousoku tetsudou kabushiki kaisha,埼玉高速鉄道,http://www.s-rail.co.jp/,0,0,121
122,99,いすみ鉄道,Isumi tetsudou,イスミテツドウ,いすみ鉄道株式会社,Isumi tetsudou kabushiki kaisha,いすみ鉄道,http://www.isumirail.co.jp/,0,0,122
123,99,首都圏新都市鉄道,Shutoken shintoshi tetsudou,シュトケンシントシテツドウ,首都圏新都市鉄道株式会社,Shutoken shintoshi tetsudou kabushiki kaisha,首都圏新都市鉄道,http://www.mir.co.jp/,0,0,123
124,99,横浜高速鉄道,Yokohama kousoku tetsudou,ヨコハマコウソクテツドウ,横浜高速鉄道株式会社,Yokohama kousoku tetsudou kabushiki kaisha,横浜高速鉄道,http://www.mm21railway.co.jp/,0,0,124
125,99,ゆりかもめ,Yurikamome,ユリカモメ,株式会社ゆりかもめ,Kabushiki kaisha yurikamome,ゆりかもめ,http://www.yurikamome.co.jp/,0,0,125
126,99,わたらせ渓谷鐵道,Watarase keikoku tetsudou,ワタラセケイコクテツドウ,わたらせ渓谷鐵道株式会社,Watarase keikoku tetsudou kabushiki kaisha,わたらせ渓谷鐵道,http://www.watetsu.com/,0,0,126
127,99,山万,Yamaman,ヤママン,山万株式会社,Yamaman kabushiki kaisha,山万,http://www.yamaman.co.jp/,0,0,127
128,99,伊豆箱根鉄道,Izu Hakone tetsudou,イズハコネテツドウ,伊豆箱根鉄道株式会社,Izu Hakone tetsudou kabushiki kaisha,いずはこ,http://www.izuhakone.co.jp/,0,0,128
129,99,ひたちなか海浜鉄道,Hitachinaka kaihin tetsudou,ヒタチナカカイヒンテツドウ,ひたちなか海浜鉄道株式会社,Hitachinaka kaihin tetsudou kabushiki kaisha,ひたちなか海浜鉄道,http://www.hitachinaka-rail.co.jp/,0,0,129
130,99,横浜市交通局,Yokohama shi koutsuu kyoku,ヨコハマシコウツウキョク,横浜市交通局,Yokohama shi koutsuu kyoku,横浜市交通局,http://www.city.yokohama.lg.jp/koutuu/,0,0,130
131,99,横浜シーサイドライン,Yokohama seaside line,ヨコハマシーサイドライン,株式会社横浜シーサイドライン,Kabushiki kaisha Yokohama seaside line,横浜シーサイドライン,http://www.seasideline.co.jp/,0,0,131
132,99,関東鉄道,Kantou tetsudou,カントウテツドウ,関東鉄道株式会社,Kantou tetsudou kabushiki kaisha,関鉄,http://www.kantetsu.co.jp/,0,0,132
133,99,江ノ島電鉄,Enoshima dentetsu,エノシマデンテツ,江ノ島電鉄株式会社,Enoshima dentetsu kabushiki kaisha,江ノ電,http://www.enoden.co.jp/,0,0,133
134,99,埼玉新都市交通,Saitama shintoshi koutsuu,サイタマシントシコウツウ,埼玉新都市交通株式会社,Saitama shintoshi koutsuu kabushiki kaisha,埼玉新都市交通,http://www5.ocn.ne.jp/~snut/,0,0,134
135,99,鹿島鉄道,Kashima tetsudou,カシマテツドウ,鹿島鉄道株式会社,Kashima tetsudou kabushiki kaisha,鹿鉄,http://www.kantetsu.co.jp/katetsu/,0,2,135
136,99,鹿島臨海鉄道,Kashima rinkai tetsudou,カシマリンカイテツドウ,鹿島臨海鉄道株式会社,Kashima rinkai tetsudou kabushiki kaisha,鹿島臨海鉄道,http://www.rintetsu.co.jp/,0,0,136
137,99,芝山鉄道,Shibayama tetsudou,シバヤマテツドウ,芝山鉄道株式会社,Shibayama tetsudou kabushiki kaisha,芝山鉄道,http://www.sibatetu.co.jp/,0,0,137
138,99,小湊鐵道,Kominato tetsudou,コミナトテツドウ,小湊鐵道株式会社,Kominato tetsudou kabushiki kaisha,小湊鐵道,http://www.kominato.co.jp/,0,0,138
139,99,湘南モノレール,Shounan monorail,ショウナンモノレール,湘南モノレール株式会社,Shounan monorail kabushiki kaisha,湘南モノレール,http://www.shonan-monorail.co.jp/,0,0,139
140,99,上信電鉄,Joushin dentetsu,ジョウシンデンテツ,上信電鉄株式会社,Joushin dentetsu kabushiki kaisha,上信電鉄,http://www.joshin-dentetsu.co.jp/,0,0,140
141,99,上毛電気鉄道,Kouge denki tetsudou,ジョウモウデンキテツドウ,上毛電気鉄道株式会社,Kouge denki tetsudou kabushiki kaisha,上電,http://www.jomorailway.com/,0,0,141
142,99,新京成電鉄,ShinKeisei dentetsu,シンケイセイデンテツ,新京成電鉄株式会社,ShinKeisei dentetsu kabushiki kaisha,新京成電鉄,http://www.shinkeisei.co.jp/,3,0,142
143,99,真岡鐵道,Mooka tetsudou,モオカテツドウ,真岡鐵道株式会社,Mooka tetsudou kabushiki kaisha,真岡鐵道,http://www.moka-railway.co.jp/,0,0,143
144,99,千葉都市モノレール,Chiba toshi monorail,チバトシモノレール,千葉都市モノレール株式会社,Chiba toshi monorail kabushiki kaisha,千葉モノレール,http://www.chiba-monorail.co.jp/,0,0,144
145,99,流鉄,Ryuutetsu,リュウテツ,流鉄株式会社,Ryuutetsu kabushiki kaisha,流鉄,http://www.kanko.chuo.chiba.jp/kanko/3297/,0,0,145
146,99,多摩都市モノレール,Tama toshi monorail,タマトシモノレール,多摩都市モノレール株式会社,Tama toshi monorail kabushiki kaisha,多摩モノレール,http://www.tama-monorail.co.jp/,0,0,146
147,99,銚子電気鉄道,Choushi denki tetsudou,チョウシデンキテツドウ,銚子電気鉄道株式会社,Choushi denki tetsudou kabushiki kaisha,銚子電鉄,http://www.choshi-dentetsu.jp/,0,0,147
148,99,東京モノレール,Tokyo monorail,トウキョウモノレール,東京モノレール株式会社,Tokyo monorail kabushiki kaisha,東京モノレール,http://www.tokyo-monorail.co.jp/,0,0,148
149,99,東京臨海高速鉄道,Tokyo rinkai kousoku tetsudou,トウキョウリンカイコウソクテツドウ,東京臨海高速鉄道株式会社,Tokyo rinkai kousoku tetsudou kabushiki kaisha,東京臨海高速鉄道,http://www.twr.co.jp/,0,0,149
150,99,東葉高速鉄道,Touyou kousoku tetsudou,トウヨウコウソクテツドウ,東葉高速鉄道株式会社,Touyou kousoku tetsudou kabushiki kaisha,東葉高速鉄道,http://www.toyokosoku.co.jp/,0,0,150
151,99,箱根登山鉄道,Hakone tozan tetsudou,ハコネトザンテツドウ,箱根登山鉄道株式会社,Hakone tozan tetsudou kabushiki kaisha,箱根登山鉄道,http://www.hakone-tozan.co.jp/,0,0,151
152,99,北総鉄道,Hokusou tetsudou,ホクソウテツドウ,北総鉄道株式会社,Hokusou tetsudou kabushiki kaisha,北総鉄道,http://www.hokuso-railway.co.jp/,0,0,152
153,99,野岩鉄道,Yagan tetsudou,ヤガンテツドウ,野岩鉄道株式会社,Yagan tetsudou kabushiki kaisha,野岩鉄道,http://www.yagan.co.jp/,0,0,153
154,99,富士山麓電気鉄道,Fuji sanroku denki tetsudou,フジサンロクデンキテツドウ,富士山麓電気鉄道株式会社,Fuji sanroku denki tetsudou kabushiki kaisha,富士急,http://www.fujikyu.co.jp/,0,0,154
155,99,北越急行,Hokuetsu kyuukou,ホクエツキュウコウ,北越急行株式会社,Hokuetsu kyuukou kabushiki kaisha,北越急行,http://www.hokuhoku.co.jp/,0,0,155
156,99,しなの鉄道,Shina no tetsudou,シナノテツドウ,しなの鉄道株式会社,Shina no tetsudou kabushiki kaisha,しな鉄,http://www.shinanorailway.co.jp/,0,0,156
157,99,上田交通,Ueda koutsuu,ウエダコウツウ,上田交通株式会社,Ueda koutsuu kabushiki kaisha,上交,http://www.ukg.co.jp/,0,0,157
158,99,長野電鉄,Nagano dentetsu,ナガノデンテツ,長野電鉄株式会社,Nagano dentetsu kabushiki kaisha,長電,http://www.nagaden-net.co.jp/,0,0,158
159,99,アルピコ交通,Arupiko koutsuu,アルピココウツウ,アルピコ交通株式会社,Arupiko koutsuu kabushiki kaisha,アルピコ交通,http://www.alpico.co.jp/traffic/,0,0,159
160,99,富山地方鉄道,Toyama chihou tetsudou,トヤマチホウテツドウ,富山地方鉄道株式会社,Toyama chihou tetsudou kabushiki kaisha,富山地鉄,http://www.chitetsu.co.jp/,0,0,160
161,99,神岡鉄道,Kamioka tetsudou,カミオカテツドウ,神岡鉄道株式会社,Kamioka tetsudou kabushiki kaisha,神鉄,,0,2,161
